id,doctor_id,specialization
165,114,Pediatrics
166,115,Dermatology
167,116,Orthopedics
168,116,Cardiology
169,117,Orthopedics
170,118,Cardiology
171,119,Dermatology
172,120,Dermatology
173,121,Dermatology
174,121,Orthopedics
175,122,Orthopedics
176,122,Neurology
177,123,Orthopedics
178,123,Neurology
179,124,Orthopedics
180,125,Neurology
181,126,Pediatrics
182,127,Neurology
183,128,Pediatrics
184,128,Cardiology
185,129,Neurology
186,130,Neurology
187,131,Dermatology
188,132,Neurology
189,133,Cardiology
190,134,Orthopedics
191,135,Neurology
192,136,Dermatology
193,137,Orthopedics
194,138,Dermatology
195,138,Pediatrics
196,139,Cardiology
197,140,Neurology
198,140,Orthopedics
199,141,Neurology
200,142,Pediatrics
201,143,Dermatology
202,144,Pediatrics
203,145,Cardiology
204,145,Pediatrics
205,146,Dermatology
206,146,Neurology
207,147,Orthopedics
208,148,Pediatrics
209,149,Pediatrics
210,149,Orthopedics
211,150,Neurology
212,151,Cardiology
213,151,Neurology
214,152,Neurology
215,153,Cardiology
216,154,Neurology
217,155,Dermatology
218,156,Cardiology
219,157,Pediatrics
220,157,Cardiology
221,158,Dermatology
222,158,Neurology
223,159,Orthopedics
224,160,Neurology
225,161,Cardiology
226,162,Dermatology
227,162,Cardiology
228,163,Cardiology
229,163,Orthopedics
230,164,Orthopedics
231,164,Neurology
232,165,Pediatrics
233,166,Neurology
234,166,Orthopedics
235,167,Orthopedics
236,168,Orthopedics
237,169,Pediatrics
238,169,Cardiology
239,170,Orthopedics
240,171,Dermatology
241,171,Neurology
242,172,Neurology
243,172,Orthopedics
244,173,Dermatology
245,173,Cardiology
246,174,Dermatology
247,175,Neurology
248,176,Pediatrics
249,177,Orthopedics
250,178,Neurology
251,178,Pediatrics
252,179,Cardiology
253,180,Dermatology
254,181,Pediatrics
255,182,Dermatology
256,183,Cardiology
257,184,Cardiology
258,185,Cardiology
259,185,Orthopedics
260,186,Pediatrics
261,186,Neurology
262,187,Dermatology
263,187,Orthopedics
264,188,Pediatrics
265,188,Orthopedics
266,189,Orthopedics
267,189,Dermatology
268,190,Cardiology
269,191,Pediatrics
270,191,Dermatology
271,192,Neurology
272,193,Orthopedics
273,193,Dermatology
274,194,Dermatology
275,195,Orthopedics
276,196,Cardiology
277,197,Cardiology
278,197,Pediatrics
279,198,Pediatrics
280,199,Dermatology
281,200,Dermatology
282,200,Orthopedics
283,201,Orthopedics
284,202,Orthopedics
285,203,Cardiology
286,204,Dermatology
287,204,Pediatrics
288,205,Orthopedics
289,205,Pediatrics
290,206,Neurology
291,207,Pediatrics
292,208,Dermatology
293,209,Cardiology
294,209,Orthopedics
295,210,Orthopedics
296,211,Orthopedics
297,211,Cardiology
298,212,Orthopedics
299,212,Cardiology
300,213,Dermatology
301,214,Neurology
302,215,Pediatrics
303,216,Dermatology
304,216,Cardiology
305,217,Dermatology
306,218,Cardiology
307,218,Orthopedics
308,219,Dermatology
309,220,Orthopedics
310,220,Dermatology
311,221,Orthopedics
312,221,Cardiology
313,222,Orthopedics
314,222,Dermatology
315,223,Cardiology
316,223,Orthopedics
317,224,Orthopedics
318,225,Cardiology
319,225,Neurology
320,226,Orthopedics
321,226,Dermatology
322,227,Orthopedics
323,227,Neurology
324,228,Neurology
325,229,Dermatology
326,229,Pediatrics
327,230,Dermatology
328,231,Cardiology
329,232,Orthopedics
330,232,Pediatrics
331,233,Dermatology
332,234,Dermatology
333,234,Neurology
334,235,Neurology
335,235,Dermatology
336,236,Neurology
337,236,Pediatrics
338,237,Neurology
339,238,Pediatrics
340,238,Orthopedics
341,239,Neurology
342,239,Dermatology
343,240,Pediatrics
344,241,Cardiology
345,242,Pediatrics
346,242,Orthopedics
347,243,Cardiology
348,243,Neurology
349,244,Dermatology
350,244,Pediatrics
351,245,Neurology
352,245,Pediatrics
353,246,Orthopedics
354,246,Cardiology
355,247,Orthopedics
356,247,Neurology
357,248,Pediatrics
358,248,Cardiology
359,249,Pediatrics
360,250,Neurology
361,250,Pediatrics
